Esperanto; IPA; Novial
A, a; [ a]; A, a
B, b; [ b]; B, b
C, c; [ ts]; Ts, ts S, s
Äˆ, Ä‰; [ tÊƒ]; Ch, ch Sh, sh
D, d; [ d]; D, d
E, e; [ e] or [ É›]; E, e
F, f; [ f]; F, f
G, g; [ É¡]; G, g
Äœ, Ä�; [ dÊ’]; J, j
H, h; [ h]; H, h
Ä¤, Ä¥; [ x]; K, k
I, i; [ i]; I, i
J, j; [ j]; Y, y
Ä´, Äµ; [ Ê’]; J, j
K, k; [ k]; K, k
L, l; [ l]; L, l
M, m; [ m]; M, m
N, n; [ n]; N, n
O, o; [ o] or [ É”]; O, o
P, p; [ p]; P, p
Kv kv; [kv]; Qu, qu
R, r; [ r]; R, r
S, s; [ s]; S, s Z, z
Åœ, Å�; [ Êƒ]; Sh, sh Ch, ch
T, t; [ t]; T, t
U, u; [ u]; U, u
Å¬, Å­; [uÌ¯]; U, u (after a vowel)
V, v; [ v]; V, v W, w
Ks, ks kz; [ks], [É¡z]; X, x
Z, z; [ z]; Z, z S, s
