Country; Name; Initialisms/Acronym; Founded; Terminated; Capabilities of the space agency; Capabilities of the space agency; Capabilities of the space agency; Capabilities of the space agency; Remarks
Country; Name; Initialisms/Acronym; Founded; Terminated; Astronauts; Operates Satellites; Sounding Rockets capable; Recoverable Biological Sounding Rockets capable; Remarks
  Bangladesh; Space Research and Remote Sensing Organization; SPARRSO; 1980; â€”; No; Yes; No; No; [ 4]
  People's Republic of China; China National Space Administration (Chinese: å›½å®¶èˆªå¤©å±€); CNSA; 22 April 1993; â€”; Yes; Yes; Yes; Yes; [ 5]
  India; Indian Space Research Organisation (Hindi: à¤­à¤¾à¤°à¤¤à¥€à¤¯ à¤…à¤‚à¤¤à¤°à¤¿à¤•à¥�à¤· à¤…à¤¨à¥�à¤¸à¤‚à¤§à¤¾à¤¨ à¤¸à¤‚à¤—à¤ à¤¨); ISRO à¤‡à¤¸à¤°à¥‹; 15 August 1969; â€”; Yes; Yes; Yes; Yes; [ 6] [ 7] [ 8]
  Indonesia; Indonesian: Lembaga Antariksa dan Penerbangan Nasional (National Institute of Aeronautics and Space); LAPAN; 27 November 1964; â€”; Yes; Yes; Yes; No; [ citation needed]
  Iran; Iranian Space Agency (Persian: Ø³Ø§Ø²Ù…Ø§Ù† Ù�Ø¶Ø§ÛŒÛŒ Ø§ÛŒØ±Ø§Ù†‎ ); ISA; 2003; â€”; No; Yes; Yes; Yes; [ 9] [ 10] [ 11]
  Israel; Israeli Space Agency (Hebrew: ×¡×•×›× ×•×ª ×”×—×œ×œ ×”×™×©×¨×�×œ×™×ª‎ ); ISA ×¡×œ"×”; April 1983; â€”; Yes; Yes; Yes; No; [ citation needed]
  Japan; Japan Aerospace Exploration Agency (Japanese: å®‡å®™èˆªç©ºç ”ç©¶é–‹ç™ºæ©Ÿæ§‹); JAXA; 1 October 2003; â€”; Yes; Yes; Yes; Yes; [ 12] [ 13]
  Malaysia; Malaysian National Space Agency (Malay: Agensi Angkasa Negara); ANGKASA; 2002; â€”; Yes; Yes; No; No; [ 14]
  North Korea; Korean Committee of Space Technology (Korean: ì¡°ì„ ìš°ì£¼ê³µê°„ê¸°ìˆ ìœ„ì›�íšŒ); KCST; 1980s; 2013; No; Yes; Yes; No; [ 15] [ 16] [ 17]
  Pakistan; Pakistan Space and Upper Atmosphere Research Commission (Urdu: Ù¾Ø§Ú©Ø³ØªØ§Ù† Ø®Ù„Ø§Ø¦ÛŒ Ùˆ Ø¨Ø§Ù„Ø§ Ù�Ø¶Ø§Ø¦ÛŒ ØªØ­Ù‚ÛŒâ€�Ù‚Ø§ØªÛŒ Ú©Ù…ÛŒØ´Ù†‎ ); SUPARCO Ø³Ù¾Ø§Ø±Ú©Ùˆ; 16 September 1961; â€”; No; Yes; Yes; No; [ citation needed]
  Philippines; Philippine Space Agency; PhilSA; 8 August 2019; â€”; No; Yes; No; No; [ 18]
  South Korea; Korea Aerospace Research Institute (Korean: í•œêµ­í•­ê³µìš°ì£¼ì—°êµ¬ì›�); KARI; 10 October 1989; â€”; Yes; Yes; Yes; No; [ citation needed]
  Republic of China; National Space Organization (Chinese: åœ‹å®¶å¤ªç©ºä¸­å¿ƒ); NSPO; 3 October 1991; â€”; No; Yes; Yes; No; [ 19]
  Thailand; Geo-Informatics and Space Technology Development Agency (Thai: à¸ªà¸³à¸™à¸±à¸�à¸‡à¸²à¸™à¸žà¸±à¸’à¸™à¸²à¹€à¸—à¸„à¹‚à¸™à¹‚à¸¥à¸¢à¸µà¸­à¸§à¸�à¸²à¸¨à¹�à¸¥à¸°à¸ à¸¹à¸¡à¸´à¸ªà¸²à¸£à¸ªà¸™à¹€à¸—à¸¨); GISTDA à¸ªà¸—à¸­à¸ ; 3 November 2002; â€”; No; Yes; No; No; [ 20]
